YEAR,STATE,NUMCOL,LBPERCOL,TOTALLB,PRICEPERLB,TOTALPRICE
1993,KENTUCKY,4000,60,240000,0.8416666666666667,202000
1993,LOUISIANA,47000,86,4042000,0.5200395843641762,2102000
1993,MAINE,13000,50,650000,0.68,442000
1993,MARYLAND,7000,27,189000,1.470899470899471,278000
1993,MICHIGAN,90000,77,6930000,0.56998556998557,3950000
1993,MINNESOTA,180000,80,14400000,0.53,7632000
1993,MISSISSIPPI,17000,61,1037000,0.48987463837994216,508000
1993,MISSOURI,24000,73,1752000,0.5901826484018264,1034000
1993,MONTANA,95000,98,9310000,0.5399570354457572,5027000
1993,NEBRASKA,83000,70,5810000,0.5299483648881239,3079000
1993,NEVADA,14000,52,728000,0.9505494505494505,692000
1993,NEW JERSEY,11000,28,308000,0.8701298701298701,268000
1993,NEW MEXICO,18000,64,1152000,0.6796875,783000
1993,NEW YORK,65000,62,4030000,0.6300248138957817,2539000
1993,NORTH CAROLINA,15000,53,795000,0.9006289308176101,716000
1993,NORTH DAKOTA,220000,90,19800000,0.52,10296000
1993,OHIO,30000,66,1980000,0.6601010101010101,1307000
1993,OKLAHOMA,6000,67,402000,0.8109452736318408,326000
1993,OREGON,53000,67,3551000,0.5601239087580963,1989000
1993,PENNSYLVANIA,28000,40,1120000,0.6401785714285714,717000
1993,SOUTH CAROLINA,11000,90,990000,0.6,594000
1993,SOUTH DAKOTA,245000,98,24010000,0.5199916701374427,12485000
1993,TENNESSEE,8000,51,408000,0.928921568627451,379000
1993,TEXAS,105000,82,8610000,0.5099883855981417,4391000
1993,UTAH,42000,53,2226000,0.5498652291105122,1224000
1993,VERMONT,6000,82,492000,0.6707317073170732,330000
1993,VIRGINIA,10000,54,540000,0.8092592592592592,437000
1993,WASHINGTON,60000,45,2700000,0.61,1647000
1993,WEST VIRGINIA,20000,37,740000,1.1094594594594596,821000
1993,WISCONSIN,100000,82,8200000,0.59,4838000
1993,WYOMING,34000,55,1870000,0.5299465240641711,991000
1992,ALABAMA,25000,41,1025000,0.5902439024390244,605000
1992,ARIZONA,70000,54,3780000,0.55,2079000
1992,ARKANSAS,45000,65,2925000,0.52,1521000
1992,CALIFORNIA,490000,67,32830000,0.5200121839780688,17072000
1992,COLORADO,52000,74,3848000,0.58991683991684,2270000
1992,FLORIDA,220000,104,22880000,0.5299825174825175,12126000
1992,GEORGIA,85000,55,4675000,0.6601069518716578,3086000
1992,HAWAII,9000,138,1242000,0.5402576489533011,671000
1992,IDAHO,135000,51,6885000,0.5199709513435004,3580000
1992,ILLINOIS,16000,53,848000,0.8797169811320755,746000
1992,INDIANA,15000,31,465000,0.7204301075268817,335000
1992,IOWA,65000,62,4030000,0.5699751861042184,2297000
1992,KANSAS,28000,58,1624000,0.5899014778325123,958000
1992,KENTUCKY,4000,30,120000,0.7416666666666667,89000
1992,LOUISIANA,45000,107,4815000,0.5100726895119418,2456000
1992,MAINE,15000,22,330000,0.7696969696969697,254000
1992,MARYLAND,6000,23,138000,0.9927536231884058,137000
1992,MICHIGAN,95000,68,6460000,0.589938080495356,3811000
1992,MINNESOTA,190000,90,17100000,0.54,9234000
1992,MISSISSIPPI,25000,65,1625000,0.5101538461538462,829000
1992,MISSOURI,25000,73,1825000,0.6498630136986301,1186000
1992,MONTANA,87000,110,9570000,0.5500522466039708,5264000
1992,NEBRASKA,96000,75,7200000,0.53,3816000
1992,NEVADA,15000,65,975000,0.8502564102564103,829000
1992,NEW JERSEY,8000,22,176000,0.9090909090909091,160000
1992,NEW MEXICO,18000,68,1224000,0.6102941176470589,747000
1992,NEW YORK,70000,66,4620000,0.6099567099567099,2818000
1992,NORTH CAROLINA,15000,45,675000,0.7896296296296297,533000
1992,NORTH DAKOTA,240000,91,21840000,0.5299908424908425,11575000
1992,OHIO,38000,33,1254000,0.5996810207336523,752000
1992,OKLAHOMA,9000,52,468000,0.7393162393162394,346000
1992,OREGON,52000,49,2548000,0.5800627943485086,1478000
1992,PENNSYLVANIA,30000,41,1230000,0.7097560975609756,873000
1992,SOUTH CAROLINA,11000,69,759000,0.7799736495388669,592000
1992,SOUTH DAKOTA,240000,85,20400000,0.53,10812000
1992,TENNESSEE,7000,43,301000,0.7408637873754153,223000
1992,TEXAS,125000,85,10625000,0.52,5525000
1992,UTAH,47000,56,2632000,0.5801671732522796,1527000
1992,VERMONT,6000,63,378000,0.7513227513227513,284000
1992,VIRGINIA,13000,38,494000,0.7105263157894737,351000
1992,WASHINGTON,80000,44,3520000,0.5801136363636363,2042000
1992,WEST VIRGINIA,23000,55,1265000,0.849802371541502,1075000
1992,WISCONSIN,105000,66,6930000,0.57994227994228,4019000
1992,WYOMING,41000,70,2870000,0.5400696864111498,1550000
1991,ALABAMA,23000,24,552000,0.6304347826086957,348000
1991,ARIZONA,75000,50,3750000,0.5301333333333333,1988000
1991,ARKANSAS,47000,79,3713000,0.5399946135200646,2005000
1991,CALIFORNIA,550000,63,34650000,0.54,18711000
1991,COLORADO,50000,79,3950000,0.6301265822784811,2489000
1991,FLORIDA,225000,83,18675000,0.5300133868808568,9898000
1991,GEORGIA,102000,42,4284000,0.6300186741363212,2699000
1991,HAWAII,10000,131,1310000,0.5702290076335877,747000
1991,IDAHO,140000,46,6440000,0.5400621118012422,3478000
1991,ILLINOIS,21000,52,1092000,0.7902930402930403,863000
1991,INDIANA,21000,50,1050000,0.68,714000
1991,IOWA,70000,59,4130000,0.5699757869249394,2354000
1991,KANSAS,35000,52,1820000,0.6,1092000
1991,KENTUCKY,7000,25,175000,0.96,168000
1991,LOUISIANA,40000,70,2800000,0.53,1484000
1991,MAINE,13000,42,546000,0.6904761904761905,377000
1991,MARYLAND,7000,25,175000,1.12,196000
1991,MICHIGAN,105000,73,7665000,0.5699934768427919,4369000
1991,MINNESOTA,180000,91,16380000,0.53998778998779,8845000
1991,MISSISSIPPI,28000,36,1008000,0.5198412698412699,524000
1991,MISSOURI,28000,65,1820000,0.6197802197802198,1128000
1991,MONTANA,86000,92,7912000,0.5700202224469161,4510000
1991,NEBRASKA,108000,67,7236000,0.5299889441680486,3835000
1991,NEVADA,15000,54,810000,0.7802469135802469,632000
1991,NEW JERSEY,11000,31,341000,0.9208211143695014,314000
1991,NEW MEXICO,20000,77,1540000,0.5597402597402598,862000
1991,NEW YORK,77000,62,4774000,0.6200251361541684,2960000
1991,NORTH CAROLINA,18000,58,1044000,0.6599616858237548,689000
1991,NORTH DAKOTA,215000,103,22145000,0.5399864529239106,11958000
1991,OHIO,48000,61,2928000,0.6301229508196722,1845000
1991,OKLAHOMA,9000,70,630000,0.8507936507936508,536000
1991,OREGON,56000,46,2576000,0.5601708074534162,1443000
1991,PENNSYLVANIA,40000,45,1800000,0.7,1260000
1991,SOUTH CAROLINA,11000,61,671000,0.7704918032786885,517000
1991,SOUTH DAKOTA,225000,101,22725000,0.54002200220022,12272000
1991,TENNESSEE,14000,38,532000,0.6898496240601504,367000
1991,TEXAS,140000,78,10920000,0.540018315018315,5897000
1991,UTAH,45000,34,1530000,0.550326797385621,842000
1991,VERMONT,6000,75,450000,0.8,360000
1991,VIRGINIA,16000,33,528000,0.7196969696969697,380000
1991,WASHINGTON,85000,42,3570000,0.5700280112044818,2035000
1991,WEST VIRGINIA,26000,24,624000,0.8701923076923077,543000
1991,WISCONSIN,110000,67,7370000,0.5599728629579376,4127000
1991,WYOMING,41000,52,2132000,0.550187617260788,1173000
1990,ALABAMA,29000,38,1102000,0.5499092558983666,606000
1990,ARIZONA,67000,48,3216000,0.4900497512437811,1576000
1990,ARKANSAS,42000,84,3528000,0.49007936507936506,1729000
1990,CALIFORNIA,480000,42,20160000,0.5399801587301587,10886000
1990,COLORADO,55000,64,3520000,0.6599431818181818,2323000
1990,CONNECTICUT,2000,52,104000,1.2980769230769231,135000
1990,DELAWARE,1000,11,11000,1.2727272727272727,14000
1990,FLORIDA,220000,95,20900000,0.48,10032000
1990,GEORGIA,111000,50,5550000,0.5900900900900901,3275000
1990,HAWAII,10000,157,1570000,0.47006369426751593,738000
1990,IDAHO,140000,40,5600000,0.48,2688000
1990,ILLINOIS,23000,40,920000,0.7304347826086957,672000
1990,INDIANA,22000,47,1034000,0.730174081237911,755000
1990,IOWA,70000,54,3780000,0.5298941798941799,2003000
1990,KANSAS,36000,67,2412000,0.5999170812603648,1447000
1990,KENTUCKY,8000,44,352000,0.9204545454545454,324000
1990,LOUISIANA,38000,89,3382000,0.5298639858072147,1792000
1990,MAINE,20000,24,480000,0.6395833333333333,307000
1990,MARYLAND,7000,19,133000,0.9022556390977443,120000
1990,MASSACHUSETTS,15000,13,195000,1.2923076923076924,252000
1990,MICHIGAN,100000,80,8000000,0.56,4480000
1990,MINNESOTA,170000,74,12580000,0.48998410174880763,6164000
1990,MISSISSIPPI,24000,62,1488000,0.5,744000
1990,MISSOURI,30000,63,1890000,0.5698412698412698,1077000
1990,MONTANA,98000,81,7938000,0.5400604686318972,4287000
1990,NEBRASKA,118000,56,6608000,0.49001210653753025,3238000
1990,NEVADA,17000,58,986000,0.7200811359026369,710000
1990,NEW HAMPSHIRE,1000,54,54000,0.8518518518518519,46000
1990,NEW JERSEY,15000,21,315000,0.9015873015873016,284000
1990,NEW MEXICO,29000,71,2059000,0.5298688683827101,1091000
1990,NEW YORK,81000,54,4374000,0.6499771376314586,2843000
1990,NORTH CAROLINA,20000,50,1000000,0.71,710000
1990,NORTH DAKOTA,220000,82,18040000,0.5200110864745011,9381000
1990,OHIO,42000,51,2142000,0.7899159663865546,1692000
1990,OKLAHOMA,9000,50,450000,0.78,351000
1990,OREGON,61000,42,2562000,0.5398126463700235,1383000
1990,PENNSYLVANIA,41000,28,1148000,0.6698606271777003,769000
1990,RHODE ISLAND,1000,31,31000,1.032258064516129,32000
1990,SOUTH CAROLINA,12000,41,492000,0.6890243902439024,339000
1990,SOUTH DAKOTA,245000,81,19845000,0.5000251952632905,9923000
1990,TENNESSEE,19000,33,627000,0.9904306220095693,621000
1990,TEXAS,140000,67,9380000,0.5899786780383796,5534000
1990,UTAH,47000,37,1739000,0.5600920069005175,974000
1990,VERMONT,6000,65,390000,0.8589743589743589,335000
1990,VIRGINIA,16000,34,544000,0.9503676470588235,517000
1990,WASHINGTON,80000,55,4400000,0.5,2200000
1990,WEST VIRGINIA,30000,30,900000,0.89,801000
1990,WISCONSIN,112000,75,8400000,0.57,4788000
1990,WYOMING,40000,57,2280000,0.5201754385964912,1186000
1989,ALABAMA,41000,20,820000,0.5402439024390244,443000
1989,ARIZONA,78000,45,3510000,0.5501424501424501,1931000
1989,ARKANSAS,34000,61,2074000,0.470106075216972,975000
